age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
9.999000000000000000e+05,2.558260409522298939e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.005199999999999483e-01,2.491900043036081147e+00
1.007046182400000049e+06,2.558260409522298939e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.005199999999999483e-01,2.491900043036081147e+00
1.015157541500000050e+06,2.557902259394323696e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.005397343088178297e-01,2.491070964234749496e+00
1.023333776900000055e+06,2.556828239371220501e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.005594731477495785e-01,2.488822646039546616e+00
1.031604536500000046e+06,2.555043762712631228e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.005794874176085041e-01,2.485229880631496524e+00
1.039977823600000003e+06,2.552559281070919006e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.005994597839134974e-01,2.480159822419532922e+00
1.048430654600000009e+06,2.549388137896666962e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006193970418355399e-01,2.473610070443271525e+00
1.056963215899999952e+06,2.545546834809393477e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006393059865455297e-01,2.465805680762871432e+00
1.065589680699999910e+06,2.541056647715689731e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006591934132143373e-01,2.456607782735734435e+00
1.074297893399999943e+06,2.535942390314616546e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006790661170126944e-01,2.446205735124237890e+00
1.083103195300000021e+06,2.530232622709460699e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006991972638111354e-01,2.434663186029127679e+00
1.091990064500000095e+06,2.523960241908082658e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.007189476545334916e-01,2.421820833993974187e+00
1.100974705099999905e+06,2.517160772610930852e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.007385904550499922e-01,2.407965027520441392e+00
1.110043547199999914e+06,2.509874840200231105e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.007581324605312856e-01,2.393082561326417057e+00
1.119211968799999915e+06,2.502145964121497812e+00,1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.007775804661486863e-01,2.377355500690842227e+00
1.128465638700000010e+06,2.494021794378127765e+00,1.099999999999999867e+00,-5.210210876803552564e-04,-1.065482796892341918e-07,0.000000000000000000e+00,2.007972076377720627e-01,2.360822646039546946e+00
1.137822731799999950e+06,2.485553787401753478e+00,1.099999999999999867e+00,-2.777314095449500645e-03,-1.063263041065482809e-05,0.000000000000000000e+00,2.008166989059774754e-01,2.343615280074292428e+00
1.147265310400000075e+06,2.476767372533918099e+00,1.099999999999999867e+00,-5.273087499150602882e-03,-3.212077283743685940e-05,-2.663706992230854795e-08,2.008360633309927423e-01,2.325738521823823124e+00
1.156810877000000095e+06,2.467703119662959299e+00,1.099999999999999867e+00,-7.607274003941197869e-03,-6.117343541190060452e-05,-4.772475027746946988e-08,2.008555763437449293e-01,2.307365670796620361e+00
1.166444234399999958e+06,2.458398059299189420e+00,1.099999999999999867e+00,-9.785305216426190555e-03,-1.019056377267888109e-04,-1.167636866067181577e-07,2.008751915105664032e-01,2.288398446170920586e+00
1.176182730599999893e+06,2.448906137851365461e+00,1.099999999999999867e+00,-1.127888377992706213e-02,-1.355013250583252029e-04,-1.696074656277605064e-07,2.008951310335453933e-01,2.269280096944437108e+00
1.186027544400000013e+06,2.439319913927834094e+00,1.099999999999999867e+00,-1.254981403882307438e-02,-1.834939409726154321e-04,-2.335726743527599520e-07,2.009150311445332682e-01,2.249881265713832512e+00
1.195962367799999891e+06,2.429741278851163422e+00,1.099999999999999867e+00,-1.298770617681034578e-02,-2.154841559265215035e-04,-2.771523703821150761e-07,2.009351208407890166e-01,2.230666946023692088e+00
1.206006894700000063e+06,2.420286288704160071e+00,1.099999999999999867e+00,-1.288934154793992815e-02,-2.467062900631949995e-04,-3.811637862692246336e-07,2.009550431493351552e-01,2.211688894425693608e+00
1.216159437500000000e+06,2.411053935309972474e+00,1.099999999999999867e+00,-1.198675032277061493e-02,-2.603358399963758354e-04,-4.765906362545016756e-07,2.009750338626016541e-01,2.193201635371128777e+00
