age,radius,mass,convective_radius,convective_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
1.733709624300000025e+06,2.468182907880132948e+00,1.499999999999999778e+00,9.064272327799041129e-01,3.566123163831570464e-01,1.161035690502616041e-02,1.885177793381503097e-01,2.849891798228725737e+00
1.753709624300000025e+06,2.457875678044802559e+00,1.499999999999999778e+00,9.092721126186322778e-01,3.635283759088540068e-01,1.202006790640784348e-02,1.880375954155245888e-01,2.826181499014699838e+00
1.773709624300000025e+06,2.447762441731409222e+00,1.499999999999999778e+00,9.121830098076965099e-01,3.703999229427619722e-01,1.240852306960519257e-02,1.875763682076603822e-01,2.802966295952341813e+00
1.793709624300000025e+06,2.437837558495095980e+00,1.499999999999999778e+00,9.147745498199274516e-01,3.771581091983963185e-01,1.280284855829123825e-02,1.871068028720921372e-01,2.780247819882669003e+00
1.813709624300000025e+06,2.428096154612786162e+00,1.499999999999999778e+00,9.173924369747893381e-01,3.839223191465264140e-01,1.319119411538199546e-02,1.866412215452218359e-01,2.758019773947313347e+00
1.833709624300000025e+06,2.418532646266052577e+00,1.499999999999999778e+00,9.198303336428909072e-01,3.905712760198418176e-01,1.358524310856417706e-02,1.861673752519875658e-01,2.736371401390744751e+00
1.853709624300000025e+06,2.409142412512173870e+00,1.499999999999999778e+00,9.226520487440257323e-01,3.974843381503543882e-01,1.398082565856531394e-02,1.856897791569457334e-01,2.715140093773358299e+00
1.873709624300000025e+06,2.399920251647828628e+00,1.499999999999999778e+00,9.250764366123803706e-01,4.041121451901514283e-01,1.437583399397494507e-02,1.852104215271013210e-01,2.694468572334593137e+00
1.893709624300000025e+06,2.390861190513940748e+00,1.499999999999999778e+00,9.273417223493167771e-01,4.106217785453802338e-01,1.477235144623887352e-02,1.847274774060566616e-01,2.674263244920609850e+00
1.913709624300000025e+06,2.381962113071642850e+00,1.499999999999999778e+00,9.294341774445626925e-01,4.169886718385465429e-01,1.517544139165099421e-02,1.842356168882646472e-01,2.654342023601891754e+00
1.933709624300000025e+06,2.373216880110535332e+00,1.499999999999999778e+00,9.314474552084985870e-01,4.233146517021900701e-01,1.557036503658066999e-02,1.837496751908309356e-01,2.635081677954199453e+00
1.953709624300000025e+06,2.364622432671180885e+00,1.499999999999999778e+00,9.333490656640012206e-01,4.294206071032185545e-01,1.597097909352420894e-02,1.832558581168316214e-01,2.616136990645314686e+00
1.973709624300000025e+06,2.356175108382975392e+00,1.499999999999999778e+00,9.353592833359756220e-01,4.356889623547532953e-01,1.638550082674578717e-02,1.827459978708463606e-01,2.597540646447257018e+00
1.993709624300000025e+06,2.347870793449454929e+00,1.499999999999999778e+00,9.373095857210805848e-01,4.419680079276992468e-01,1.681214750050963672e-02,1.822219169177103915e-01,2.579315907495073557e+00
2.013709624300000025e+06,2.339706422116015538e+00,1.499999999999999778e+00,9.396836032526216798e-01,4.485964782214773572e-01,1.721512774921289332e-02,1.817193542322588784e-01,2.561518788647533462e+00
2.033709624300000025e+06,2.331677498018074335e+00,1.499999999999999778e+00,9.417581893134610027e-01,4.549795982015447660e-01,1.761221221318715752e-02,1.812209125914515939e-01,2.544158825794467838e+00
2.053709624300000025e+06,2.323780765589253505e+00,1.499999999999999778e+00,9.435800674986974945e-01,4.611453653989896484e-01,1.801323973362930000e-02,1.807162406849531222e-01,2.527155337606739938e+00
2.073709624300000025e+06,2.316013078891934196e+00,1.499999999999999778e+00,9.456163242655548640e-01,4.674861963804389231e-01,1.841739513918774079e-02,1.802066683277083470e-01,2.510561620874765865e+00
2.093709624300000025e+06,2.308371866406938810e+00,1.499999999999999778e+00,9.473499784819586766e-01,4.735725078031209900e-01,1.881492511721669092e-02,1.797014297039570274e-01,2.494148746290969054e+00
2.113709624299999792e+06,2.300852077510247451e+00,1.499999999999999778e+00,9.490654465559803521e-01,4.796316340800468314e-01,1.922506215316314993e-02,1.791814915400121444e-01,2.478154295680535135e+00
2.133709624299999792e+06,2.293452589639628947e+00,1.499999999999999778e+00,9.507040250062286368e-01,4.856105593784681429e-01,1.962510824707239601e-02,1.786699159663864833e-01,2.462510974200998959e+00
2.153709624299999792e+06,2.286170068857730886e+00,1.499999999999999778e+00,9.522478629187520749e-01,4.915054303834741622e-01,2.003648596797209455e-02,1.781450580987111454e-01,2.447191374663072239e+00
2.173709624299999792e+06,2.279002074112662868e+00,1.499999999999999778e+00,9.537317311830394440e-01,4.973290875444515979e-01,2.043541414301569548e-02,1.776304763414798538e-01,2.432148927495525914e+00
2.193709624299999792e+06,2.271946773879362613e+00,1.499999999999999778e+00,9.551002672767218149e-01,5.030171958141748112e-01,2.084654141656662463e-02,1.771017875829577481e-01,2.417273709483793276e+00
2.213709624299999792e+06,2.264999064304966225e+00,1.499999999999999778e+00,9.564397630750407497e-01,5.086792970395703772e-01,2.124485148021472772e-02,1.765843491358807527e-01,2.402934766359372531e+00
2.233709624299999792e+06,2.258157879680172897e+00,1.499999999999999778e+00,9.577453690910326944e-01,5.143092769485152482e-01,2.164782984892069800e-02,1.760605245871934010e-01,2.388849554916306239e+00
2.253709624299999792e+06,2.251420865478267697e+00,1.499999999999999778e+00,9.590388797028243095e-01,5.198995528551041412e-01,2.205312679788895558e-02,1.755323411628802455e-01,2.375085755056739689e+00
2.273709624299999792e+06,2.244785859702370878e+00,1.499999999999999778e+00,9.602455140546781731e-01,5.254037133570409468e-01,2.245943955695484801e-02,1.750013966341252836e-01,2.361509637817390761e+00
2.293709624299999792e+06,2.238248946748509383e+00,1.499999999999999778e+00,9.613610500804093961e-01,5.308123232462793606e-01,2.286287381367640981e-02,1.744713268703707298e-01,2.348337470837391638e+00
2.313709624299999792e+06,2.231809084010962785e+00,1.499999999999999778e+00,9.625531903327363414e-01,5.362859499195903323e-01,2.327667904142788347e-02,1.739291102856236337e-01,2.335434505877822531e+00
2.333709624299999792e+06,2.225464690479965313e+00,1.499999999999999778e+00,9.636721262089738005e-01,5.416771223357266241e-01,2.368287080115064752e-02,1.733927857935626815e-01,2.322706561870029773e+00
2.353709624299999792e+06,2.219212464381978389e+00,1.499999999999999778e+00,9.647424811434007763e-01,5.470181154726041495e-01,2.409915957326326172e-02,1.728447242293143504e-01,2.310241840132277957e+00
2.373709624299999792e+06,2.213050771025390162e+00,1.499999999999999778e+00,9.654857301411129411e-01,5.519438067679900417e-01,2.450392794853789927e-02,1.723065285736935792e-01,2.298131146798341629e+00
2.393709624299999792e+06,2.206978051597996870e+00,1.499999999999999778e+00,9.666669165779517847e-01,5.573428835987226382e-01,2.493024446759836005e-02,1.717449339735893921e-01,2.286249926385647502e+00
2.413709624299999792e+06,2.200992319871344804e+00,1.499999999999999778e+00,9.677718204262834023e-01,5.626870067498696004e-01,2.535369283562481646e-02,1.711845452898139996e-01,2.274556139436906044e+00
2.433709624299999792e+06,2.195091777616706707e+00,1.499999999999999778e+00,9.687912908559644931e-01,5.679404236336041967e-01,2.575868119323200534e-02,1.706411515549616231e-01,2.263090036014405726e+00
2.453709624299999792e+06,2.189274781761761268e+00,1.499999999999999778e+00,9.698547441618157183e-01,5.732313453079346255e-01,2.616879129765112624e-02,1.700909241432422281e-01,2.251797458606082269e+00
2.473709624299999792e+06,2.183540193435864918e+00,1.499999999999999778e+00,9.706059480395931027e-01,5.781160744524223016e-01,2.656850404312668251e-02,1.695493374708372525e-01,2.240712541620421661e+00
2.493709624299999792e+06,2.177885251761081165e+00,1.499999999999999778e+00,9.715035810550635142e-01,5.832163426351670843e-01,2.698106079412896166e-02,1.689931506942399797e-01,2.229889804978594903e+00
2.513709624299999792e+06,2.172309014926725901e+00,1.499999999999999778e+00,9.726778658633262742e-01,5.885927401753149324e-01,2.738527828489886046e-02,1.684438795895716323e-01,2.219301592335045648e+00
2.533709624299999792e+06,2.166809226256540821e+00,1.499999999999999778e+00,9.734724501121203577e-01,5.935059482207974968e-01,2.778331047135834328e-02,1.678991268205395626e-01,2.208927065165688042e+00
2.553709624299999792e+06,2.161384958436204595e+00,1.499999999999999778e+00,9.744893950032843533e-01,5.987071465491856648e-01,2.819532465061495158e-02,1.673389202473441750e-01,2.198657206278737952e+00
2.573709624299999792e+06,2.156034276427552410e+00,1.499999999999999778e+00,9.753873270062738410e-01,6.037551961086320418e-01,2.859798684001903235e-02,1.667866939228520862e-01,2.188654216403542740e+00
2.593709624299999792e+06,2.150755967066070973e+00,1.499999999999999778e+00,9.765416272169241685e-01,6.090637698475617201e-01,2.900840216086434525e-02,1.662252116695734083e-01,2.178815647013522039e+00
2.613709624299999792e+06,2.145547996557112480e+00,1.499999999999999778e+00,9.775779315499781852e-01,6.142359628077644906e-01,2.941643566105686322e-02,1.656645529910076020e-01,2.169198622845363467e+00
2.633709624299999792e+06,2.140409295567283987e+00,1.499999999999999778e+00,9.784615166821445387e-01,6.192316720650524742e-01,2.981125080975784158e-02,1.651153758862034526e-01,2.159766767084190686e+00
2.653709624299999792e+06,2.135339246868558138e+00,1.499999999999999778e+00,9.792865070556520113e-01,6.241357658384109053e-01,3.021526689166231447e-02,1.645552646719064815e-01,2.150443248997711887e+00
2.673709624299999792e+06,2.130336202858501338e+00,1.499999999999999778e+00,9.801360076105912755e-01,6.290556597431424812e-01,3.061261722802328250e-02,1.640006027316586457e-01,2.141272395750752011e+00
2.693709624299999792e+06,2.125398564633400156e+00,1.499999999999999778e+00,9.810218260889258524e-01,6.340109519128404036e-01,3.100988251149515082e-02,1.634442891118711161e-01,2.132361095381547944e+00
2.713709624299999792e+06,2.120525119708259076e+00,1.499999999999999778e+00,9.817825182903345826e-01,6.387991552696548059e-01,3.141891807288953176e-02,1.628749772361774428e-01,2.123584452648983323e+00
2.733709624299999792e+06,2.115714467371853313e+00,1.499999999999999778e+00,9.828206595845877525e-01,6.438981299236673506e-01,3.182464071666401412e-02,1.623073847652267698e-01,2.114965820290379828e+00
2.753709624299999792e+06,2.110965889148112229e+00,1.499999999999999778e+00,9.837416611927786159e-01,6.488556674443359817e-01,3.221517354866473143e-02,1.617536243176515287e-01,2.106494099526603048e+00
2.773709624299999792e+06,2.106278185915875234e+00,1.499999999999999778e+00,9.845055471245102163e-01,6.536065462184872388e-01,3.259791612494052776e-02,1.612061426079865190e-01,2.098156153027247672e+00
2.793709624299999792e+06,2.101650490611339350e+00,1.499999999999999778e+00,9.854055131486554320e-01,6.585075749394097011e-01,3.299234462841740129e-02,1.606454456499580297e-01,2.090007406736278828e+00
2.813709624299999792e+06,2.097081103082741649e+00,1.499999999999999778e+00,9.861174228181835977e-01,6.631528515708166038e-01,3.337859614034291433e-02,1.600915964121497337e-01,2.082016013952749489e+00
2.833709624299999792e+06,2.092569270651656321e+00,1.499999999999999778e+00,9.868912817957369299e-01,6.678943231556773164e-01,3.379062327572537189e-02,1.595102129153548598e-01,2.074089265895037393e+00
2.853709624299999792e+06,2.088113223855579736e+00,1.499999999999999778e+00,9.875858139482206477e-01,6.725038898729299719e-01,3.417589209268612899e-02,1.589541319169177069e-01,2.066276699358987390e+00
