age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
9.999+05,2.696507800176674241e+00,1.199999999999999734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006199999999999095e-01,2.943417268794310093e+00
1.000687687200000044e+06,2.696507800176674241e+00,1.199999999999999734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006199999999999095e-01,2.943417268794310093e+00
1.005126831099999952e+06,2.696297134249925342e+00,1.199999999999999734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006306779315499000e-01,2.943045890054134084e+00
1.009590340399999986e+06,2.695642067997009672e+00,1.199999999999999734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006413513329859399e-01,2.941609504179029333e+00
1.014078321600000025e+06,2.694574479603160988e+00,1.199999999999999734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006520156741941341e-01,2.939368434166119037e+00
1.018584952200000058e+06,2.693071909669527919e+00,1.199999999999999734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006626664250605319e-01,2.936058279915738645e+00
1.023115811400000006e+06,2.691165555731726222e+00,1.199999999999999734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006732990554712104e-01,2.931854719246188345e+00
1.027678967100000009e+06,2.688840007927698394e+00,1.199999999999999734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006839090353121635e-01,2.926674284808262083e+00
1.032271102500000037e+06,2.686136630048245877e+00,1.199999999999999734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.006944918344695516e-01,2.920638904618450660e+00
1.036887820399999968e+06,2.683069262497450591e+00,1.199999999999999734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.007050429228294797e-01,2.913867018505513773e+00
1.041530875800000038e+06,2.679632175134204264e+00,1.199999999999999734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.007155577702778304e-01,2.906023896350992342e+00
1.046199187400000053e+06,2.675870733198939089e+00,1.199999999999999734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.007260318467008475e-01,2.897636413055786786e+00
1.050885939100000076e+06,2.671804258986612890e+00,1.199999999999999734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.007364606219845526e-01,2.888721194138032189e+00
1.055605350600000005e+06,2.667434648576409550e+00,1.199999999999999734e+00,-7.500998890122087407e-04,-2.663706992230855192e-07,0.000000000000000000e+00,2.007468395660150784e-01,2.878839905773629138e+00
1.060354889699999942e+06,2.662813885705224592e+00,1.199999999999999734e+00,-2.878756936736958510e-03,-7.749167591564928758e-06,0.000000000000000000e+00,2.007571641486783076e-01,2.868462864391039258e+00
1.065130177699999884e+06,2.657949287639583158e+00,1.199999999999999734e+00,-5.204225237264716378e-03,-2.242734829780968869e-05,0.000000000000000000e+00,2.007674298398604285e-01,2.857608281048268140e+00
1.069932076600000029e+06,2.652871386894379846e+00,1.199999999999999734e+00,-7.420096491426757951e-03,-4.312528030079956391e-05,-2.663706992230854795e-08,2.007776321094474625e-01,2.846156855194907020e+00
1.074752480500000063e+06,2.647637110693333184e+00,1.199999999999999734e+00,-9.347693945502728863e-03,-6.827348297809687620e-05,-4.772475027746946988e-08,2.007877664273256257e-01,2.834701284287299838e+00
1.079606629500000039e+06,2.642281745226392253e+00,1.199999999999999734e+00,-1.092196289836689163e-02,-9.763725112686583055e-05,-9.012661668440960311e-08,2.007981523930326695e-01,2.822770595030464236e+00
1.084491320999999996e+06,2.636840708509819553e+00,1.199999999999999734e+00,-1.210301796190173945e-02,-1.314873949579831581e-04,-1.485197852725995779e-07,2.008085213708124539e-01,2.810510589141316906e+00
1.089401172999999952e+06,2.631351257333121474e+00,1.199999999999999734e+00,-1.287212258488300808e-02,-1.706977281478628964e-04,-2.178078778681283469e-07,2.008191374663072792e-01,2.798194568393394643e+00
1.094338446100000059e+06,2.625854780176219982e+00,1.199999999999999734e+00,-1.309464178124079489e-02,-2.104060567623275359e-04,-2.931210219937030728e-07,2.008296765498651659e-01,2.785959614034292819e+00
1.099296054900000105e+06,2.620394530566942937e+00,1.199999999999999734e+00,-1.272255407823506650e-02,-2.481774445627306824e-04,-3.964529207909578152e-07,2.008401386214863360e-01,2.773735146888942182e+00
1.104288292099999962e+06,2.615012523726469862e+00,1.199999999999999734e+00,-1.202540125484155738e-02,-3.019470656187002531e-04,-5.178373236086885834e-07,2.008505236811705674e-01,2.761885342816370770e+00
1.109312900600000052e+06,2.609757452263922861e+00,1.199999999999999734e+00,-1.038559967383179475e-02,-3.302599379374390439e-04,-5.944868513443112006e-07,2.008608317289178880e-01,2.750456137171848336e+00
1.114349863399999915e+06,2.604680941357674584e+00,1.199999999999999734e+00,-8.069520034428864438e-03,-3.498459534757298434e-04,-8.148995447235496898e-07,2.008713291354277120e-01,2.739171238306643108e+00
1.119414299600000028e+06,2.599833333484335540e+00,1.199999999999999734e+00,-5.219136107273095876e-03,-3.703906090738181374e-04,-1.062357018279009609e-06,2.008816940361048964e-01,2.728577770730932883e+00
1.124512023899999913e+06,2.595270525266708983e+00,1.199999999999999734e+00,-1.609441663457832593e-03,-3.720200004530113051e-04,-1.265011665043375738e-06,2.008921950667059142e-01,2.718552560646898542e+00
1.129645357599999988e+06,2.590725595596727437e+00,1.199999999999999734e+00,2.658741081338184507e-03,-3.613949353326235438e-04,-1.496206029581643890e-06,2.009025126276924866e-01,2.708469455706810081e+00
1.134791320700000040e+06,2.586196415094338619e+00,1.199999999999999734e+00,7.498486035923807719e-03,-3.443180592991912413e-04,-1.679902149539060517e-06,2.009129176198780897e-01,2.698618156696640291e+00
1.139974055600000080e+06,2.581662445128994232e+00,1.199999999999999734e+00,1.308387641849191596e-02,-2.999921855534666451e-04,-1.858841649867493756e-06,2.009230927087815866e-01,2.688748510725043062e+00
1.145190577599999961e+06,2.577149630116197354e+00,1.199999999999999734e+00,1.923307798591134682e-02,-2.447799497157354524e-04,-2.038709823552061574e-06,2.009333110602731509e-01,2.679140682688168962e+00
1.150435019099999918e+06,2.572657377517042931e+00,1.199999999999999734e+00,2.603258646854967467e-02,-1.654073704953679027e-04,-2.140863892726901657e-06,2.009432576049287322e-01,2.669418174817095757e+00
1.155692167200000025e+06,2.568183815261953828e+00,1.199999999999999734e+00,3.317342997576389757e-02,-9.503635416430709654e-05,-2.312215452218623235e-06,2.009532077736754518e-01,2.659633355228882667e+00
1.160986848100000061e+06,2.563727818297129257e+00,1.199999999999999734e+00,4.110317243878682664e-02,2.608835987225098865e-05,-2.241092663480486412e-06,2.009631151328455101e-01,2.649981970146548349e+00
1.166316557999999961e+06,2.559268018528165101e+00,1.199999999999999734e+00,4.963634419805657005e-02,1.805656526761647857e-04,-2.206324039049581510e-06,2.009729355138280549e-01,2.640151645563884930e+00
1.171658736100000096e+06,2.554828340845772594e+00,1.199999999999999734e+00,5.862743346395157817e-02,3.540021744546872039e-04,-2.138236426646129352e-06,2.009826270130692927e-01,2.630557204013679762e+00
1.177039059099999955e+06,2.550386914086387957e+00,1.199999999999999734e+00,6.820631633785584347e-02,5.709828082176265484e-04,-1.895059910756755667e-06,2.009924741217240518e-01,2.620949738385919936e+00
1.182454081100000069e+06,2.545969364425014092e+00,1.199999999999999734e+00,7.801826224829552792e-02,7.851421323246277756e-04,-1.465808965095471650e-06,2.010019089900110523e-01,2.611454370427416016e+00
1.187882374599999981e+06,2.541553166776143957e+00,1.199999999999999734e+00,8.840851117805609283e-02,1.055624929216969227e-03,-7.074452422478416259e-07,2.010112206391990453e-01,2.601759541552469024e+00
1.192432093600000022e+06,2.537160911232416716e+00,1.199999999999999734e+00,9.916251240118688359e-02,1.356328999524337607e-03,-6.518833948673856282e-08,2.010203762259620552e-01,2.592303766789734176e+00
1.197879932800000068e+06,2.532771476137624322e+00,1.199999999999999734e+00,1.102305116763686449e-01,1.688060024009604108e-03,6.106367075131943794e-07,2.010296115427302188e-01,2.582678905524473656e+00
1.203333766999999993e+06,2.528407194500441157e+00,1.199999999999999734e+00,1.215542313529185403e-01,2.048157965072820372e-03,1.609255022763821800e-06,2.010383100409974533e-01,2.573350993227479844e+00
1.208794752300000051e+06,2.524068015130579656e+00,1.199999999999999734e+00,1.330951496070125195e-01,2.437732360868876194e-03,2.607624181748169140e-06,2.010470361729596867e-01,2.564043942105143969e+00
1.214263290299999993e+06,2.519751248272894095e+00,1.199999999999999734e+00,1.446627117261999329e-01,2.832130580534100370e-03,3.961041020181659767e-06,2.010554442909238404e-01,2.554678769621055778e+00
1.219739949599999934e+06,2.515454866248385546e+00,1.199999999999999734e+00,1.565261627669935207e-01,3.288439489003146775e-03,5.533941878638243717e-06,2.010635151419057354e-01,2.545455299100770841e+00
1.225223703800000018e+06,2.511177672200954447e+00,1.199999999999999734e+00,1.684470873632471499e-01,3.772436929488773814e-03,7.297288726811473203e-06,2.010712317379781400e-01,2.536118507780470654e+00
