age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
1.488435451900000089e+03,7.136221354730571065e+00,7.999999999999999334e-01,3.431962037645246433e+00,3.721760402274116863e-01,8.598196969353778807e-02,8.239936510889833698e-18,1.523504047656798299e+01
3.348979766800000107e+03,7.131610407936758378e+00,7.999999999999999334e-01,3.422784253323971182e+00,3.711794151622913041e-01,8.576860359238033804e-02,1.495010736370020084e-02,1.521872792135721930e+01
5.348979766800000107e+03,7.117805756189266475e+00,7.999999999999999334e-01,3.395250900360143653e+00,3.681895399669301572e-01,8.509474687988402564e-02,2.981512106729484329e-02,1.516987428933837379e+01
7.348979766800000107e+03,7.094890077011935858e+00,7.999999999999999334e-01,3.349361978753765623e+00,3.632064146413281902e-01,8.396039955604882310e-02,4.451053795102946631e-02,1.508866107952614755e+01
9.348979766799999197e+03,7.063002185779970965e+00,7.999999999999999334e-01,3.285117488504835315e+00,3.562300391854854587e-01,8.236556162087477206e-02,5.895159301456431161e-02,1.497558791818613955e+01
1.134897976700000072e+04,7.022336883508119243e+00,7.999999999999999334e-01,3.202517429613354061e+00,3.472604135994019625e-01,8.031023307436180314e-02,7.305352805273052086e-02,1.483146746245667735e+01
1.334897976700000072e+04,6.973146448843687395e+00,7.999999999999999334e-01,3.101561802079321861e+00,3.362975378830777018e-01,7.779441391650998572e-02,8.673126979093523370e-02,1.465720609753335069e+01
1.534897976700000072e+04,6.915737132437879353e+00,7.999999999999999334e-01,2.982250605902737828e+00,3.233414120365126765e-01,7.481810414731929204e-02,9.990007814446533185e-02,1.445380176221431689e+01
1.734897976700000072e+04,6.850431821332304771e+00,7.999999999999999334e-01,2.844583841083602849e+00,3.083920360597068866e-01,7.138130376678972211e-02,1.124755484835443520e-01,1.422236195610319243e+01
1.934897976700000072e+04,6.777602668690115628e+00,7.999999999999999334e-01,2.688561507621916480e+00,2.914494099526602766e-01,6.748401277492127592e-02,1.243732920337946302e-01,1.396433640626061390e+01
2.134897976700000072e+04,6.697421535482115829e+00,7.999999999999999334e-01,2.514183605517678721e+00,2.725135337153729020e-01,6.312623117171395348e-02,1.355094153887970165e-01,1.368031706267412417e+01
2.334897976700000072e+04,6.610442090194567299e+00,7.999999999999999334e-01,2.321450134770889129e+00,2.515844073478447629e-01,5.830795895716776867e-02,1.457996726992683567e-01,1.337244168610840234e+01
2.534897976700000072e+04,6.517504760017212462e+00,7.999999999999999334e-01,2.110361095381548147e+00,2.286620308500758314e-01,5.302919613128269372e-02,1.551589974857867649e-01,1.304368318648213609e+01
2.734897976700000072e+04,6.419490215859926963e+00,7.999999999999999334e-01,1.880916487349656441e+00,2.037464042220661353e-01,4.728994269405874251e-02,1.635024172687942756e-01,1.269693062130512295e+01
2.934897976700000072e+04,6.317317252259393001e+00,7.999999999999999334e-01,1.633116310675212901e+00,1.768375274638156469e-01,4.109019864549592893e-02,1.707451113275498811e-01,1.233549124555482379e+01
3.134897976700000072e+04,6.211861112595980394e+00,7.999999999999999334e-01,1.366960565358218194e+00,1.479354005753244494e-01,3.442996398559422522e-02,1.768032098122267470e-01,1.196257543772225596e+01
3.334897976699999708e+04,6.104104024326710842e+00,7.999999999999999334e-01,1.082449251398672097e+00,1.170400235565924041e-01,2.730923871435365219e-02,1.815926195383813779e-01,1.158214636798115293e+01
3.534897976699999708e+04,5.995147638451605587e+00,7.999999999999999334e-01,7.795823687965747206e-01,8.415139640761962192e-02,1.972802283177420984e-02,1.850293526467190475e-01,1.119774355025028711e+01
3.734897976699999708e+04,5.886212641056420836e+00,7.999999999999999334e-01,4.583599175519260660e-01,4.926951912840603354e-02,1.168631633785588431e-02,1.870297975039071914e-01,1.081419889465219697e+01
3.934897976699999708e+04,5.778654041088132409e+00,7.999999999999999334e-01,1.187818976647259800e-01,1.239439171895169965e-02,3.184119232598689887e-03,1.875098686266959414e-01,1.043626523817073704e+01
4.134897976699999708e+04,5.673956176357334513e+00,7.999999999999999334e-01,-1.362227910031960088e-02,-5.436136718838767423e-04,1.342046252463154066e-04,1.924546030487666592e-01,1.006956187003102876e+01
4.334897976699999708e+04,5.573754421844208551e+00,7.999999999999999334e-01,-1.176257219869082105e-01,-1.067294842465291334e-02,-2.270546331740252478e-03,1.968252596887811179e-01,9.720923984688212727e+00
4.534897976699999708e+04,5.479854207569818669e+00,7.999999999999999334e-01,-1.903066660626517859e-01,-1.781240798206078571e-02,-3.985537158259539955e-03,2.005780207932229275e-01,9.396940315748938843e+00
4.734897976699999708e+04,5.394240496273980057e+00,7.999999999999999334e-01,-2.285656073750256256e-01,-2.178078778681285729e-02,-4.966504790595487571e-03,2.036699209495118346e-01,9.105360053455342495e+00
4.934897976699999708e+04,5.319107136967993199e+00,7.999999999999999334e-01,-2.291427665405788849e-01,-2.239688328161457478e-02,-5.168658180253242473e-03,2.060570801150648501e-01,8.854583909035310896e+00
5.134897976699999708e+04,5.256876329928196867e+00,7.999999999999999334e-01,-4.438283766336724168e-01,-4.540986205803076992e-02,-1.052324039049582285e-02,2.016911141815216357e-01,8.654580013137326944e+00
5.334897976699999708e+04,5.209735512469137575e+00,7.999999999999999334e-01,-4.060641011121431942e-01,-4.357969602935516523e-02,-1.014033092482276299e-02,2.014261097646605492e-01,8.512785793562706260e+00
5.534897976699999708e+04,5.165115095245644383e+00,7.999999999999999334e-01,-5.923205282112846692e-01,-6.396520872499944499e-02,-1.489169448911640235e-02,2.062888128836439794e-01,8.380007429386846951e+00
5.734897976699999708e+04,5.122644867380913070e+00,7.999999999999999334e-01,-5.385864912002538141e-01,-5.932637205825727622e-02,-1.383485605562979892e-02,2.053376896418944442e-01,8.253696187909124404e+00
