age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
1.000736825399999972e+06,2.854605971596184677e+00,1.399999999999999467e+00,4.958999999999995079e-01,4.158899999999998015e-02,3.399999999999999160e-04,2.005535960044395050e-01,3.669214523545266005e+00
1.005290187999999966e+06,2.854375913837231771e+00,1.399999999999999467e+00,5.009194726947385767e-01,4.320586538766447993e-02,3.588260209744275134e-04,2.005530918027587650e-01,3.668394957983192928e+00
1.009854461400000029e+06,2.853735885977030762e+00,1.399999999999999467e+00,5.058591678180704987e-01,4.479614999207227888e-02,3.786347369136333933e-04,2.005516460168972892e-01,3.666780742485672651e+00
1.014427701499999966e+06,2.852690280867062889e+00,1.399999999999999467e+00,5.100765838410834530e-01,4.611165453351150079e-02,3.978805182450338880e-04,2.005471901968334525e-01,3.664099413350244472e+00
1.019011633299999987e+06,2.851245369770548432e+00,1.399999999999999467e+00,5.150138236426643479e-01,4.771626999479035292e-02,4.188544700899225802e-04,2.005407261772633454e-01,3.660163627715236068e+00
1.023606757199999993e+06,2.849405590613602879e+00,1.399999999999999467e+00,5.201337584090235389e-01,4.939820908740853722e-02,4.404323314231350711e-04,2.005316088699630739e-01,3.655624612108991922e+00
1.028213078300000052e+06,2.847162214319689966e+00,1.399999999999999467e+00,5.251081315545083061e-01,5.104276413961809922e-02,4.615507712518969528e-04,2.005242789191147013e-01,3.649612675258782080e+00
1.032828642899999977e+06,2.844555326734466316e+00,1.399999999999999467e+00,5.297261115767060158e-01,5.256863147523159474e-02,4.818612199596819653e-04,2.005150392987383456e-01,3.642632947518627873e+00
1.037455255400000024e+06,2.841599172348184599e+00,1.399999999999999467e+00,5.344068970984620082e-01,5.415249412217715969e-02,5.050460486081225072e-04,2.005043002106502437e-01,3.635195768873585642e+00
1.042093440500000026e+06,2.838282682506964250e+00,1.399999999999999467e+00,5.387887970282451144e-01,5.565095721307389276e-02,5.275405558449794809e-04,2.004922168112527603e-01,3.626462162223378360e+00
1.046741099399999948e+06,2.834648642551359288e+00,1.399999999999999467e+00,5.428369362839475798e-01,5.705824929216967573e-02,5.493449681759495721e-04,2.004782848988651556e-01,3.617231262316245921e+00
1.051400092900000047e+06,2.830697292350902394e+00,1.399999999999999467e+00,5.473742395071236055e-01,5.865624843144803813e-02,5.712962468006070778e-04,2.004632480916894444e-01,3.607030600919613139e+00
