age,radius,mass,convective_radius,convective_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
1.001816705799999996e+06,2.380209585494574398e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.937499999999999223e-01,1.003308826926996744e+00
1.003816705799999996e+06,2.380164519921176058e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.937560035334888187e-01,1.003262760198418535e+00
1.005816705799999996e+06,2.380029189336111628e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.937620433078891258e-01,1.003122168112527746e+00
1.007816705799999996e+06,2.379804370880427289e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.937678314344604691e-01,1.002923273460326614e+00
1.009816705799999996e+06,2.379491106706832060e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.937736682597566706e-01,1.002623663050125513e+00
1.011816705799999996e+06,2.379089849373712262e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.937795877596321381e-01,1.002253167682166879e+00
1.013816705799999996e+06,2.378603143446057278e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.937856239099412237e-01,1.001790661170127938e+00
1.015816705799999996e+06,2.378032357924300566e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.937918106865386958e-01,1.001240891073410078e+00
1.017816705799999996e+06,2.377379455480303605e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.937978579356270381e-01,1.000609148565085871e+00
1.019816705799999996e+06,2.376647258828059606e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938040637387029863e-01,9.999115925615521538e-01
1.021816705799999996e+06,2.375838656141701311e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938104598065641115e-01,9.991461686561414757e-01
1.023816705799999996e+06,2.374956869691271955e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938170778500079017e-01,9.983138734739176456e-01
1.025816705799999996e+06,2.374005400348817130e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938236254501800315e-01,9.974083240843505394e-01
1.027816705799999996e+06,2.372988353983101373e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938303984235202615e-01,9.964334050601367787e-01
1.029816705799999996e+06,2.371909855489364283e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938371598450700228e-01,9.953929669981194106e-01
1.031816705799999996e+06,2.370774641554734163e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938439368955127973e-01,9.942993952297901616e-01
1.033816705799999996e+06,2.369587798817639701e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938510208611745611e-01,9.931683503590112982e-01
1.035816705799999996e+06,2.368354444268272019e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938584366576819040e-01,9.920049627398125347e-01
1.037816705799999996e+06,2.367080584384698039e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938658850710094639e-01,9.907790572832905207e-01
1.039816705799999996e+06,2.365771998686264865e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938733887517270771e-01,9.895332578314340877e-01
1.041816705799999996e+06,2.364435365240435072e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938812922149992513e-01,9.882610093093836534e-01
1.043816705799999996e+06,2.363077676957575424e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938892917166867014e-01,9.869666923373122680e-01
1.045816705799999996e+06,2.361705657885795784e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938974053772451467e-01,9.856585403972907278e-01
1.047816705799999996e+06,2.360327270606354499e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.939056490520735809e-01,9.843316315205324907e-01
1.049816705800000113e+06,2.358949953792837562e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.939140363315136895e-01,9.830046297764386543e-01
1.051816705800000113e+06,2.357582395977257939e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.939229026705020509e-01,9.817028562368343980e-01
1.053816705800000113e+06,2.356233363609593567e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.939319352646718675e-01,9.804016738770975348e-01
1.055816705800000113e+06,2.354857462683185521e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.939408190445989222e-01,9.790989376882829331e-01
1.057816705800000113e+06,2.353453436317922254e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.939498826700492007e-01,9.777532356338760611e-01
1.059816705800000113e+06,2.352021246007837352e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.939594525357312138e-01,9.763703073682302724e-01
1.061816705800000113e+06,2.350559663186029269e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.939689404063512090e-01,9.749866701397537083e-01
1.063816705800000113e+06,2.349068633491132374e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.939789345172031054e-01,9.735817980022197782e-01
1.065816705800000113e+06,2.347547192461889587e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.939888421028788390e-01,9.721390994133498609e-01
1.067816705800000113e+06,2.345994651067973003e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.939989804978594912e-01,9.706637432331418625e-01
1.069816705800000113e+06,2.344410336134453487e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.940096647715689460e-01,9.691600149493757588e-01
1.071816705800000113e+06,2.342793273007316213e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.940202953634283245e-01,9.676449047543548287e-01
1.073816705800000113e+06,2.341142838342883614e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.940311828127477267e-01,9.661019343586487729e-01
1.075816705800000113e+06,2.339458118643682472e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.940423690230808629e-01,9.645111463453304168e-01
1.077816705800000113e+06,2.337738771659607195e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.940535695032729879e-01,9.628979410632176883e-01
1.079816705800000113e+06,2.335983912206392343e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.940653521031053541e-01,9.612660150852789798e-01
1.081816705800000113e+06,2.334192707196085514e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.940774278013091825e-01,9.595917257469024353e-01
1.083816705800000113e+06,2.332364912908559518e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.940895053115585522e-01,9.578983646288700138e-01
1.085816705800000113e+06,2.330499170309633161e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.941018793177648194e-01,9.561810822442181612e-01
1.087816705800000113e+06,2.328594776552130430e+00,3.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.941145758680830613e-01,9.544227185213703946e-01
