age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity,convective_turnover_time,mass_loss_rate
1e-05,2.043755190269416,1.0,0.15208922716770712,0.003320109821572952,2.4876675268217225e-05,0.200436990137058,1.4888962408191424,13301234.66617006,5.80593539736192e-13
0.00025958682112,2.0437550430117777,1.0,0.15208922715952167,0.003320109821570768,2.487667885307011e-05,0.20043701900006206,1.4889339410330602,13301411.136398382,5.806076906950348e-13
0.0018668799962237366,2.043755040513593,0.9999999999999982,0.1520892271054628,0.0033201098215710906,2.487667891388619e-05,0.20043701934835725,1.4889331874120888,13301631.312220247,5.80607211805702e-13
0.011818815689988481,2.0437550355361243,0.9999999999999919,0.15208922676935138,0.003320109821575667,2.4876679035058295e-05,0.20043701944057565,1.4889330898456348,13301624.672391606,5.80607170439762e-13
0.07343857839845423,2.043755007255178,0.9999999999999559,0.15208922468655525,0.0033201098215766113,2.487667972353314e-05,0.20043701950719664,1.4889330628791764,13301511.967654455,5.806071609223521e-13
0.4549719075001067,2.043754831937622,0.9999999999997343,0.15208921178889517,0.0033201098215742695,2.487668399148585e-05,0.20043701995452626,1.488932748302785,13301285.073314203,5.806070249514546e-13
2.8173257176583335,2.0437537468807414,0.9999999999983624,0.1520891319263238,0.0033201098215720924,2.48767104062721e-05,0.20043702262881535,1.4889309662619339,13301120.614044668,5.806061650021729e-13
17.444397846610435,2.0437470281907584,0.9999999999898704,0.1520886374394795,0.003320109821571998,2.487687396799801e-05,0.20043703925211787,1.4889197271200199,13301115.492943885,5.806009347004227e-13
108.01137310051504,2.0437054303282385,0.9999999999372887,0.1520855758504627,0.003320109821572391,2.4877886674267784e-05,0.20043714211260308,1.488850159156401,13301112.876689166,5.805684751431809e-13
668.7782124467157,2.043447953532144,0.9999999996117886,0.152066624868916,0.003320109821571379,2.4884156362094196e-05,0.2004377785282717,1.4884197444277307,13301100.720308691,5.803676411957061e-13
4140.898676100714,2.041856969952777,0.9999999975991084,0.15194949983888903,0.0033201098215717225,2.4922950224762966e-05,0.20044171153992071,1.4857610137864485,13301032.70085954,5.791272396009711e-13
25639.353413867542,2.032128710579858,0.9999999852406338,0.175887079172928,0.00457705290531576,2.516214529824891e-05,0.20045938869328392,1.4695470680377352,13038899.044807717,5.715629835301548e-13
155781.7475482435,1.9773667018998164,0.9999999140002711,0.28821081919692987,0.02229862132155541,6.648970679500683e-05,0.20044668300397506,1.3800928970772945,11637179.261130136,5.288952861398915e-13
434515.61130101274,1.8787970717618123,0.9999997797259581,0.3845943679911289,0.05124813440209751,0.0006688682184331263,0.20001627493561497,1.224988161511191,10463190.687832829,4.467346862044111e-13
766968.779913048,1.7851867693982326,0.9999996447575734,0.45168361584596173,0.09098586574936568,0.0019531787184152226,0.19875121002878027,1.0857704627403777,9538490.421950484,3.7623562058141227e-13
1162590.9643281878,1.696983468827838,0.9999995094802094,0.49688896455670395,0.13436048666827216,0.003979387970285433,0.19657269641854383,0.9624927285643425,8864417.55195223,3.1700495645214463e-13
1634563.0853326232,1.6140999888942305,0.9999993733799436,0.5353001006687439,0.1861426481366791,0.0071658945535201125,0.19295491962472355,0.8544669571168549,8248471.049948958,2.6760109197655275e-13
2199334.9589268453,1.536413725173171,0.9999992356497489,0.5674923254428669,0.24522118759594103,0.011733454193666075,0.18756070627215646,0.7608896944371548,7681119.195523078,2.2669866519063829e-13
2876769.282518932,1.4638688186856723,0.9999990952819433,0.5884147467497265,0.3036570401318898,0.01710182666287453,0.18083577612535015,0.6809462946209861,7154267.20115837,1.931794158585129e-13
3691297.949546741,1.3964033121710564,0.9999989508191476,0.6055088116767515,0.3665785227685882,0.023724648456977783,0.17212750346556369,0.6142355598851779,6557483.392943193,1.66048132237257e-13
4671284.232822302,1.3340948283697756,0.9999988004462311,0.6231105422073786,0.4380895504044931,0.03224027860854374,0.16056212640160578,0.5603763962106102,6005381.10798884,1.4451250044414842e-13
5850242.251263899,1.2770750670732438,0.9999986415519925,0.6322540671184611,0.5044104937912249,0.04062895035943626,0.14789035305141252,0.5194912574882874,5490663.229011115,1.2797731625848392e-13
7263662.284138102,1.225671585570547,0.9999984706758421,0.641394088838676,0.5746841388238356,0.049920237987816966,0.13273288978799339,0.49246937189461143,4929058.649745453,1.1610308838619276e-13
8948105.66637644,1.1802542077772766,0.9999982826073424,0.6527556984337063,0.6496091154189797,0.060066177014794934,0.11475712740850173,0.48151510043430007,4337940.209218126,1.088920257935419e-13
10929608.371746307,1.141351100870486,0.9999980701999578,0.6581377429955115,0.717020682289258,0.06700719785267538,0.09689712143830678,0.4900968658048188,3797549.4959625755,1.0665085794584635e-13
13199516.777374515,1.1094843990444598,0.9999978248050988,0.6690731785680412,0.784323967626127,0.074224760259237,0.07717840813975174,0.5234538079677216,3185561.1802365254,1.1012300979498159e-13
15694703.784540392,1.0853514007839913,0.9999975377308231,0.6742006390871031,0.8373127449936678,0.07671329417712168,0.06000165269866682,0.5859245041674495,2671083.237260857,1.1998945114817711e-13
18224973.62777015,1.0699482431232452,0.9999972127281338,0.685295542003337,0.8848678780024688,0.07668603476932186,0.044168234099418814,0.6773215974649315,2166003.4505595104,1.3633574389528028e-13
20601300.773179587,1.0631474741402458,0.9999968618643341,0.7036100901854258,0.9218321276565049,0.07507457256590565,0.030890226852697572,0.7895456486390492,1736282.2731154682,1.577940458574373e-13
22796131.61862261,1.0628476919851608,0.9999964862763645,0.7250777846741826,0.9488506833432091,0.07132320752907341,0.020854783122427667,0.9133560778832308,1380262.2751739933,1.826501361455665e-13
