age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
1.063459648600000037e+03,6.493009456839338611e+00,5.999999999999998668e-01,3.277396090511676130e-01,2.648757616254048333e-02,7.969670207705722292e-03,7.806255641895631925e-18,1.087580031257785862e+01
2.392784209299999929e+03,6.488476170015174738e+00,5.999999999999998668e-01,3.268988199053206034e-01,2.641962445355500524e-02,7.949224671000475195e-03,1.636504269632381436e-02,1.086289055244739288e+01
4.054439910300000065e+03,6.474902806858590765e+00,5.999999999999998668e-01,3.243764524677795746e-01,2.621576932659856057e-02,7.887888060884730435e-03,3.264709189336112427e-02,1.082455009173480498e+01
6.054439910299999610e+03,6.452370949058867211e+00,5.999999999999998668e-01,3.201725067385444712e-01,2.587601078167115626e-02,7.785660377358489745e-03,4.876224399193639786e-02,1.076084679154680401e+01
8.054439910299999610e+03,6.421014110398875374e+00,5.999999999999998668e-01,3.142869827176152930e-01,2.540034881877278536e-02,7.642541620421752259e-03,6.462810278828512445e-02,1.067223524881650576e+01
1.005443990999999914e+04,6.381021715780650361e+00,5.999999999999998668e-01,3.067198804049921512e-01,2.478878343790345828e-02,7.458531790074518844e-03,8.016051190287434847e-02,1.055930086751681607e+01
1.205443990999999914e+04,6.332640546784750413e+00,5.999999999999998668e-01,2.974711998006749902e-01,2.404131463906317157e-02,7.233630886316791235e-03,9.527709325239530624e-02,1.042266952818863146e+01
1.405443990999999914e+04,6.276174666017348969e+00,5.999999999999998668e-01,2.865409409046636990e-01,2.315794242225191479e-02,6.967838909148563360e-03,1.098943613671883729e-01,1.026317941516228771e+01
1.605443990999999914e+04,6.211987655892544424e+00,5.999999999999998668e-01,2.739291037169584442e-01,2.213866678746970185e-02,6.661155858569842159e-03,1.239291707626446609e-01,1.008180801377154445e+01
1.805443991000000096e+04,6.140502768126117061e+00,5.999999999999998668e-01,2.596356882375591146e-01,2.098348773471652232e-02,6.313581734580622426e-03,1.372987182042628151e-01,9.879823755917460204e+00
2.005443991000000096e+04,6.062210247344220093e+00,5.999999999999998668e-01,2.436606944664658214e-01,1.969240526399238661e-02,5.925116537180909367e-03,1.499202808670637987e-01,9.658546309089670601e+00
2.205443991000000096e+04,5.977667675145528214e+00,5.999999999999998668e-01,2.260041224036783702e-01,1.826541937529728085e-02,5.495760266370696909e-03,1.617108967360528782e-01,9.419634102697681755e+00
2.405443991000000096e+04,5.887503972456906709e+00,5.999999999999998668e-01,2.066659720491970109e-01,1.670253006863122239e-02,5.025512922149991124e-03,1.725873668712768205e-01,9.164824435434550054e+00
2.605443991000000096e+04,5.792426063784002821e+00,5.999999999999998668e-01,1.856462434030215491e-01,1.500373734399419734e-02,4.514374504518787676e-03,1.824677605381775092e-01,8.895924188543339994e+00
2.805443991000000096e+04,5.693217845477812844e+00,5.999999999999998668e-01,1.629449364651520960e-01,1.316904120138621265e-02,3.962345013477088299e-03,1.912693863960678309e-01,8.615339328184102641e+00
3.005443991000000096e+04,5.590754800108721057e+00,5.999999999999998668e-01,1.385620512355885403e-01,1.119844164080726311e-02,3.369424449024891691e-03,1.989099757638904120e-01,8.325883893179911510e+00
3.205443991000000096e+04,5.486011145212801310e+00,5.999999999999998668e-01,1.124975877143310071e-01,9.091938662257353920e-03,2.735612811162200023e-03,2.053073630206799227e-01,8.030054406668325484e+00
3.405443991000000096e+04,5.380061478176175527e+00,5.999999999999998668e-01,8.475154590137938537e-02,6.849532265736480753e-03,2.060910099889011558e-03,2.103798142653287295e-01,7.731354119006091707e+00
3.605443991000000096e+04,5.274101396634124583e+00,5.999999999999998668e-01,5.532392579673375832e-02,4.471222451244646207e-03,1.345316315205326730e-03,2.140455013703594367e-01,7.433163899522071461e+00
3.805443991000000096e+04,5.169453102675030998e+00,5.999999999999998668e-01,2.421472740039407739e-02,1.957009218781848546e-03,5.888314571111452145e-04,2.162227728827379736e-01,7.139316858818997247e+00
4.005443991000000096e+04,5.067582256449748357e+00,5.999999999999998668e-01,-8.576049287639643526e-03,-6.931074316519108191e-04,-2.085444743935324467e-04,2.168304826836394694e-01,6.854522525991527004e+00
4.205443991000000096e+04,4.970121887924980442e+00,5.999999999999998668e-01,-4.304840426736739056e-02,-3.479127500056631780e-03,-1.046811479308706145e-03,2.157883209132709368e-01,6.583945298874264829e+00
4.405443991000000096e+04,4.878899850506239311e+00,5.999999999999998668e-01,-7.920233753878912208e-02,-6.401050986432310110e-03,-1.925969557634375122e-03,2.130159684251058394e-01,6.333179369861150931e+00
4.605443991000000096e+04,4.795958538585244568e+00,5.999999999999998668e-01,-1.170378491019048450e-01,-9.458877890778946348e-03,-2.846018709370538944e-03,2.084331058461119657e-01,6.108902081587350708e+00
4.805443991000000096e+04,4.723597911164464591e+00,5.999999999999998668e-01,-1.565549389567149063e-01,-1.265260821309656912e-02,-3.806958934517206284e-03,2.019606591315771249e-01,5.918356587918184530e+00
5.005443991000000096e+04,4.663200056173412378e+00,5.999999999999998668e-01,-1.977536071032186260e-01,-1.598224195338512552e-02,-4.808790233074360446e-03,1.935164486171827014e-01,5.765801830166027209e+00
5.205443991000000096e+04,4.615860401594598983e+00,5.999999999999998668e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.888685902285441864e-01,5.654593897936531555e+00
5.405443991000000096e+04,4.571677430745882731e+00,5.999999999999998668e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.890194577453622737e-01,5.552912931210218339e+00
5.605443991000000096e+04,4.529574270764909372e+00,5.999999999999998668e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.891638043896803345e-01,5.457053160886994547e+00
5.805443991000000096e+04,4.488579186391536524e+00,5.999999999999998668e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.893045011212031725e-01,5.363747899159662325e+00
6.005443991000000096e+04,4.448699774173819677e+00,5.999999999999998668e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.894412577861332991e-01,5.272926566853154640e+00
6.205443991000000096e+04,4.409907089175291617e+00,5.999999999999998668e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.895747783641758000e-01,5.184746970486306950e+00
6.405443991000000096e+04,4.372147758726130817e+00,5.999999999999998668e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.897053090670229869e-01,5.099000407710251537e+00
6.605443991000000096e+04,4.335230588688304465e+00,5.999999999999998668e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.898331642845817180e-01,5.015453283200070445e+00
