age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
3.768185625699999946e+04,5.626894901583272990e+00,6.999999999999997335e-01,2.658597023715141699e-02,2.283177421912156637e-03,5.937565969784129637e-04,2.176227001744093781e-01,9.199710593671428072e+00
3.968185625699999946e+04,5.512350019252982847e+00,6.999999999999997335e-01,-9.415864458991209107e-03,-8.086253369272292709e-04,-2.102887947631897655e-04,2.182223144352080091e-01,8.829646334005296637e+00
4.168185625699999946e+04,5.402534003261680873e+00,6.999999999999997335e-01,-4.726394708826934382e-02,-4.058982083399403744e-03,-1.055567283517182047e-03,2.171599531133207583e-01,8.477454483680261887e+00
4.368185625699999946e+04,5.299519480395930238e+00,6.999999999999997335e-01,-8.695827765068293858e-02,-7.467892817504362228e-03,-1.942078869283563177e-03,2.143549758771433056e-01,8.150786201272959275e+00
4.568185625699999946e+04,5.205801952705608748e+00,6.999999999999997335e-01,-1.284988561462319934e-01,-1.103535753924210494e-02,-2.869823552062332559e-03,2.097264848580941421e-01,7.858861197309110480e+00
4.768185625699999946e+04,5.123877271059365412e+00,6.999999999999997335e-01,-1.718856825749169037e-01,-1.476137624861266484e-02,-3.838801331853499733e-03,2.031933337108428050e-01,7.610522548642096652e+00
4.968185625699999946e+04,5.055123889555821037e+00,6.999999999999997335e-01,-2.171187569367369063e-01,-1.864594894561597688e-02,-4.849012208657047136e-03,1.946717477179550626e-01,7.410232100387322163e+00
5.168185625699999946e+04,5.000719861152006729e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.899783700650070906e-01,7.262949896939906225e+00
5.368185625699999946e+04,4.950183675054926624e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.901236336043851116e-01,7.128726109311647186e+00
5.568185625699999946e+04,4.902406172506736937e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.902614272123943628e-01,7.003815284604406166e+00
