age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
2.786758657999999969e+02,1.128789414663978619e+01,9.999999999999997780e-01,1.942890293094023946e-16,3.816391647148975608e-17,4.336808689942017736e-18,1.277764613015017203e-01,3.757718249563976087e+01
6.270206980499999645e+02,1.127645268386599753e+01,9.999999999999997780e-01,6.266041133434507859e-01,7.187025753697708075e-02,1.348089809508709429e-02,1.274621812498584195e-01,3.752021246234342300e+01
1.062451738400000067e+03,1.124219710820177021e+01,9.999999999999997780e-01,1.248554938956714766e+00,1.432875036807175761e-01,2.687805975220277505e-02,1.264492874130784261e-01,3.734892477745814432e+01
1.606740538799999968e+03,1.118533674103603559e+01,9.999999999999997780e-01,1.861340981675689399e+00,2.137987270379850258e-01,4.010775306348954294e-02,1.247377797911617403e-01,3.706465967519082483e+01
2.287101539199999934e+03,1.110622787084644969e+01,9.999999999999997780e-01,2.460283924890711127e+00,2.829509162155428026e-01,5.308598881061858676e-02,1.223276583841083481e-01,3.666838410836032125e+01
3.137552789800000028e+03,1.100536123740061889e+01,9.999999999999997780e-01,3.040771886112935363e+00,3.502910598201544601e-01,6.572937960089696163e-02,1.192189231919182635e-01,3.616396611474777956e+01
4.200616853100000299e+03,1.088339422274570012e+01,9.999999999999997780e-01,3.598009399986409562e+00,4.153661464585833851e-01,7.795402342068902257e-02,1.154115742145914725e-01,3.555287616933565431e+01
5.529446932200000447e+03,1.074113422886135361e+01,9.999999999999997780e-01,4.127303494982898613e+00,4.777231647375931312e-01,8.967636277152368773e-02,1.109056114521280167e-01,3.484008539264762305e+01
7.190484531000000061e+03,1.057955959251624911e+01,9.999999999999997780e-01,4.623760402274116998e+00,5.369091032639470296e-01,1.008132469591610098e-01,1.057010349045278408e-01,3.403000566264240945e+01
9.190484531000000061e+03,1.039980273415026168e+01,9.999999999999997780e-01,5.082362069356044287e+00,5.924709506444086893e-01,1.112816147591111776e-01,9.979784457179097235e-02,3.312800154023872778e+01
1.119048453100000006e+04,1.020314778477428419e+01,9.999999999999997780e-01,5.497994722417267610e+00,6.439556954857414972e-01,1.209981770821536157e-01,9.319604045391741143e-02,3.214083897710027315e+01
1.319048453100000006e+04,9.991099712337764061e+00,9.999999999999997780e-01,5.865320913270968717e+00,6.909103263947088402e-01,1.298803938934063873e-01,8.589562255090714415e-02,3.107546014632267628e+01
1.519048453100000006e+04,9.765181092889985592e+00,9.999999999999997780e-01,6.178673537339463451e+00,7.328818319780742163e-01,1.378463677546490351e-01,7.789659086276018440e-02,2.994013816847493104e+01
1.719048453099999824e+04,9.527382195519715324e+00,9.999999999999997780e-01,6.432311422682280622e+00,7.694172008426011233e-01,1.448136764139618116e-01,6.919894538947653218e-02,2.874563410269767871e+01
1.919048453099999824e+04,9.280421179641665574e+00,9.999999999999997780e-01,6.620691295386077257e+00,8.000634215950530592e-01,1.506998792724636993e-01,5.980268613105618053e-02,2.750460440780084781e+01
2.119048453099999824e+04,9.027313602346595189e+00,9.999999999999997780e-01,6.737847403112187550e+00,8.243674828421934109e-01,1.554234388094860586e-01,4.970781308749913641e-02,2.623383927155767026e+01
2.319048453099999824e+04,8.771288343563838907e+00,9.999999999999997780e-01,6.777234886407391912e+00,8.418763731907856762e-01,1.589031414075063597e-01,3.891432625880539287e-02,2.494825658565312665e+01
2.519048453099999824e+04,8.516128808806538331e+00,9.999999999999997780e-01,6.731972230401593649e+00,8.521370812475932421e-01,1.610587569367369354e-01,2.742222564497495338e-02,2.366915853133705738e+01
2.719048453099999824e+04,8.266087008539262371e+00,9.999999999999997780e-01,6.932584158191577473e+00,8.871095608054542225e-01,1.678013524655144750e-01,2.100199143808465299e-02,2.242111871163559300e+01
2.919048453099999824e+04,8.024353852408886212e+00,9.999999999999997780e-01,7.110595732632674526e+00,9.199302362454414572e-01,1.741471113728509934e-01,1.497184692745021431e-02,2.121979093524201687e+01
3.119048453099999824e+04,7.792989996149401577e+00,9.999999999999997780e-01,7.264574735554598206e+00,9.503726018709368617e-01,1.800528517067204182e-01,9.373893632924856084e-03,2.007954245849282771e+01
3.319048453100000188e+04,7.574231196629593654e+00,9.999999999999997780e-01,7.393018437563704026e+00,9.782101519853223515e-01,1.854753269609730193e-01,4.250337493487950022e-03,1.901157965072820843e+01
3.519048453100000188e+04,7.370271026523814939e+00,9.999999999999997780e-01,7.494503205055606188e+00,1.003216380891979398e+00,1.903709619696934974e-01,-3.567888287390524535e-04,1.802957666085301724e+01
3.719048453100000188e+04,7.182891629255474086e+00,9.999999999999997780e-01,7.567645858343336585e+00,1.025164782894289583e+00,1.946961770368524358e-01,-4.405961403429305492e-03,1.714386328116151859e+01
3.919048453100000188e+04,7.014376792226322266e+00,9.999999999999997780e-01,7.611071032186458751e+00,1.043828852295634935e+00,1.984076543070057985e-01,-7.855912251693138171e-03,1.636292011144080050e+01
4.119048453100000188e+04,6.865993122154520734e+00,9.999999999999997780e-01,7.623384312215451430e+00,1.058982083399397256e+00,2.014617495300006222e-01,-1.066531880676799618e-02,1.569675168180479297e+01
4.319048453100000188e+04,6.739751808874491878e+00,9.999999999999997780e-01,7.603257469025344051e+00,1.070397970508958130e+00,2.038145498199279426e-01,-1.279372986930621924e-02,1.515542526444539462e+01
4.519048453100000188e+04,6.626577604475751393e+00,9.999999999999997780e-01,7.549336995175427667e+00,1.077850007927699139e+00,2.054227282611157390e-01,-1.419877981381232300e-02,1.468297447280798806e+01
4.719048453100000188e+04,6.526304837935172465e+00,9.999999999999997780e-01,7.460276291648733960e+00,1.081111689959002309e+00,2.062428979138825058e-01,-1.483578427597454473e-02,1.427645745090488560e+01
4.919048453100000188e+04,6.437642053500644224e+00,9.999999999999997780e-01,7.334762078416270370e+00,1.079956510906249001e+00,2.062310813381956209e-01,-1.466023715146436146e-02,1.393040680423112221e+01
5.119048453100000188e+04,6.359928952184645823e+00,9.999999999999997780e-01,7.171481981471831801e+00,1.074157965072821241e+00,2.053436229586173556e-01,-1.362694239960135154e-02,1.363644227502321371e+01
5.319048453100000188e+04,6.291684448571880139e+00,9.999999999999997780e-01,6.969124532831999730e+00,1.063489546762100835e+00,2.035368649346530612e-01,-1.169026682371061832e-02,1.338670388910280806e+01
5.519048453100000188e+04,6.231457057237987485e+00,9.999999999999997780e-01,6.726352533466215533e+00,1.047724750277469141e+00,2.007674135314502784e-01,-8.804450610432855429e-03,1.317271489727966305e+01
5.719048453100000188e+04,6.177545179505763429e+00,9.999999999999997780e-01,6.441861876826201261e+00,1.026637069922308410e+00,1.969912845138054869e-01,-4.923329633740287405e-03,1.298352080454823110e+01
5.919048453100000188e+04,6.127669623094519125e+00,9.999999999999997780e-01,6.114349135880766006e+00,9.999999999999997780e-01,1.921650818818093076e-01,0.000000000000000000e+00,1.281010623117171043e+01
6.119048453100000188e+04,6.080526469229199371e+00,9.999999999999997780e-01,6.067289474280276096e+00,9.999999999999997780e-01,1.922564517882624502e-01,0.000000000000000000e+00,1.264288862714896844e+01
6.319048453100000188e+04,6.036149100998889239e+00,9.999999999999997780e-01,6.023078303019319790e+00,9.999999999999997780e-01,1.923421617703685027e-01,0.000000000000000000e+00,1.248413712654872931e+01
6.479048453100000188e+04,5.994671329135426774e+00,9.999999999999997780e-01,5.981754649029421778e+00,9.999999999999997780e-01,1.924223579243017623e-01,0.000000000000000000e+00,1.233603818886044579e+01
6.607048453099999460e+04,5.956141079752654832e+00,9.999999999999997780e-01,5.943375116084167686e+00,9.999999999999997780e-01,1.924966912047837708e-01,0.000000000000000000e+00,1.219743754105415334e+01
6.767048453099999460e+04,5.920560683141179226e+00,9.999999999999997780e-01,5.907933656481459295e+00,9.999999999999997780e-01,1.925655425943962051e-01,0.000000000000000000e+00,1.206986998573013814e+01
6.967048453099999460e+04,5.887896656322904931e+00,9.999999999999997780e-01,5.875371446691882937e+00,9.999999999999997780e-01,1.926285689370087206e-01,0.000000000000000000e+00,1.195255883485469361e+01
7.167048453099999460e+04,5.858094547554869358e+00,9.999999999999997780e-01,5.845677093478899522e+00,9.999999999999997780e-01,1.926861967428480371e-01,0.000000000000000000e+00,1.184516229133162213e+01
7.367048453099999460e+04,5.831074846089377317e+00,9.999999999999997780e-01,5.818750413372894670e+00,9.999999999999997780e-01,1.927384944166345426e-01,0.000000000000000000e+00,1.174844662393259043e+01
7.567048453099999460e+04,5.806747093252393910e+00,9.999999999999997780e-01,5.794512831547711684e+00,9.999999999999997780e-01,1.927857559627624284e-01,0.000000000000000000e+00,1.166139844617091725e+01
7.767048453099999460e+04,5.785001457790661661e+00,9.999999999999997780e-01,5.772840404086161392e+00,9.999999999999997780e-01,1.928279059548347329e-01,0.000000000000000000e+00,1.158407529049355311e+01
7.967048453099999460e+04,5.765721696301160826e+00,9.999999999999997780e-01,5.753614260798658009e+00,9.999999999999997780e-01,1.928654651294479661e-01,0.000000000000000000e+00,1.151564588099390463e+01
8.167048453099999460e+04,5.748781294933065666e+00,9.999999999999997780e-01,5.736749960361501977e+00,9.999999999999997780e-01,1.928985757321796113e-01,0.000000000000000000e+00,1.145546694149357592e+01
8.367048453099999460e+04,5.734040315748940131e+00,9.999999999999997780e-01,5.722038143559309731e+00,9.999999999999997780e-01,1.929273211171260716e-01,0.000000000000000000e+00,1.140421776257672448e+01
8.567048453099999460e+04,5.721361856214183028e+00,9.999999999999997780e-01,5.709408956035242788e+00,9.999999999999997780e-01,1.929523694760922892e-01,0.000000000000000000e+00,1.135972932569253757e+01
8.767048453099999460e+04,5.710595122426328274e+00,9.999999999999997780e-01,5.698665926748056165e+00,9.999999999999997780e-01,1.929734687082379496e-01,0.000000000000000000e+00,1.132235430021064815e+01
8.967048453099999460e+04,5.701583749575300786e+00,9.999999999999997780e-01,5.689685338286256666e+00,9.999999999999997780e-01,1.929912688849124147e-01,0.000000000000000000e+00,1.129111576706153919e+01
9.167048453099999460e+04,5.694164570205439091e+00,9.999999999999997780e-01,5.682294162948196892e+00,9.999999999999997780e-01,1.930060834899997302e-01,0.000000000000000000e+00,1.126622460304876583e+01
9.367048453099999460e+04,5.688170281773086145e+00,9.999999999999997780e-01,5.676298058846178662e+00,9.999999999999997780e-01,1.930182112845137687e-01,0.000000000000000000e+00,1.124619832838795652e+01
9.567048453099999460e+04,5.683430143604610407e+00,9.999999999999997780e-01,5.671579741330493363e+00,9.999999999999997780e-01,1.930279340415410883e-01,0.000000000000000000e+00,1.123048947881039084e+01
9.767048453099999460e+04,5.679765028652969505e+00,9.999999999999997780e-01,5.667911866633444262e+00,9.999999999999997780e-01,1.930355142811841229e-01,0.000000000000000000e+00,1.121890190038279300e+01
9.967048453099999460e+04,5.676989552198236311e+00,9.999999999999997780e-01,5.665129085596500857e+00,9.999999999999997780e-01,1.930412507644566900e-01,0.000000000000000000e+00,1.121041880903304389e+01
1.016704845300000015e+05,5.674918896690750891e+00,9.999999999999997780e-01,5.663070126163671780e+00,9.999999999999997780e-01,1.930456848399736969e-01,0.000000000000000000e+00,1.120406192665745237e+01
1.036704845300000015e+05,5.673360420621078148e+00,9.999999999999997780e-01,5.661519875874876817e+00,9.999999999999997780e-01,1.930490677025526736e-01,0.000000000000000000e+00,1.119975061722802145e+01
1.056704845300000015e+05,5.672116995175427334e+00,9.999999999999997780e-01,5.660269111418150700e+00,9.999999999999997780e-01,1.930516822578087488e-01,0.000000000000000000e+00,1.119600670456861735e+01
1.076704845300000015e+05,5.670987987270378561e+00,9.999999999999997780e-01,5.659136039321388090e+00,9.999999999999997780e-01,1.930543735984959763e-01,0.000000000000000000e+00,1.119252282044893221e+01
