age,radius,mass,convective_radius,convective_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
1.001474341699999990e+06,2.779964386282814282e+00,1.299999999999999822e+00,1.680999999999999994e-01,1.714999999999999077e-03,1.000000000000004825e-06,2.007799999999999307e-01,3.281621123921266481e+00
1.005936620499999961e+06,2.779754926951913063e+00,1.299999999999999822e+00,1.788635280527304805e-01,2.356882126435478220e-03,2.785567057011489042e-06,2.007880325715190872e-01,3.281201929828535313e+00
1.010405569400000037e+06,2.779126695508391531e+00,1.299999999999999822e+00,1.897585562526896419e-01,3.028118666334457011e-03,4.573580375546446570e-06,2.007960153117850644e-01,3.279749280844412862e+00
1.014879842599999974e+06,2.778084165213254408e+00,1.299999999999999822e+00,2.002505538064281443e-01,3.640257650229902515e-03,6.690162857595871758e-06,2.008038406305918122e-01,3.277291286325850539e+00
1.019360948100000038e+06,2.776632393485695349e+00,1.299999999999999822e+00,2.106324333506987001e-01,4.260571337969148650e-03,8.666266506602635761e-06,2.008117250673854270e-01,3.273822396883280916e+00
1.023848586899999995e+06,2.774778557838228910e+00,1.299999999999999822e+00,2.212205418016262581e-01,4.935932478651836562e-03,1.096914992412059291e-05,2.008192969263176975e-01,3.269553398717976567e+00
1.028342703399999999e+06,2.772533896124486752e+00,1.299999999999999822e+00,2.318315862193934818e-01,5.650864481641710256e-03,1.368912093139142383e-05,2.008265086411923361e-01,3.264270289247773960e+00
1.032843451299999957e+06,2.769911144986295426e+00,1.299999999999999822e+00,2.419131486556886923e-01,6.299998958073795875e-03,1.637085777707307933e-05,2.008336367754649521e-01,3.258014428412873809e+00
1.037350868699999992e+06,2.766924368841876536e+00,1.299999999999999822e+00,2.519945049717999264e-01,7.001041042832227730e-03,1.955994473261001679e-05,2.008400455276450058e-01,3.250881220412691786e+00
1.041864979599999962e+06,2.763591050986431430e+00,1.299999999999999822e+00,2.620948334050599571e-01,7.757949693084779767e-03,2.297617160071575875e-05,2.008465442025866854e-01,3.242772814786290425e+00
1.046386019800000009e+06,2.759929261138417189e+00,1.299999999999999822e+00,2.717811705814401346e-01,8.511183311060271581e-03,2.629826270130694734e-05,2.008530320052549500e-01,3.234034972479557180e+00
1.050914097199999960e+06,2.755961988493509374e+00,1.299999999999999822e+00,2.812300052096309289e-01,9.267569684477561243e-03,2.983240843507214203e-05,2.008591463000293786e-01,3.224535391515094940e+00
1.055449452499999898e+06,2.751712961788488343e+00,1.299999999999999822e+00,2.904599855036353873e-01,1.006414188316836177e-02,3.390271580330244294e-05,2.008645267163469139e-01,3.214382500169878032e+00
1.059991860600000015e+06,2.747208154431583615e+00,1.299999999999999822e+00,2.995114838388185374e-01,1.088373204376089955e-02,3.847584316745563483e-05,2.008697275136469007e-01,3.203609798636434913e+00
1.064541536899999948e+06,2.742476375002830480e+00,1.299999999999999822e+00,3.081877347165279390e-01,1.172122018618767907e-02,4.330399329543138187e-05,2.008743928514802324e-01,3.192278647307978723e+00
1.069098713999999920e+06,2.737546052911730143e+00,1.299999999999999822e+00,3.162630388004257775e-01,1.250660341117578768e-02,4.834177444562728692e-05,2.008790260255045312e-01,3.180546399691951187e+00
1.073663495799999917e+06,2.732451509433961867e+00,1.299999999999999822e+00,3.242803483657612507e-01,1.336346413282293345e-02,5.430243040612469079e-05,2.008824233844480889e-01,3.168331173979024307e+00
1.078235991900000023e+06,2.727229044145959680e+00,1.299999999999999822e+00,3.320123853314909668e-01,1.426912179211306878e-02,6.109556275340322735e-05,2.008849419012887771e-01,3.155871050306914061e+00
1.082816342100000009e+06,2.721915971596185368e+00,1.299999999999999822e+00,3.395977983646286669e-01,1.521646001041926377e-02,6.743856032979226342e-05,2.008876799021495074e-01,3.143255271920087690e+00
1.087404778099999996e+06,2.716552450565130616e+00,1.299999999999999822e+00,3.463643344130103996e-01,1.605443985141226035e-02,7.411608416951683551e-05,2.008901818840743703e-01,3.130439330449160451e+00
1.092001316099999938e+06,2.711180365353688337e+00,1.299999999999999822e+00,3.530356044304512331e-01,1.696848365761398011e-02,8.186088020113698523e-05,2.008915819157851557e-01,3.117731318942670526e+00
1.096606010100000072e+06,2.705844506783844139e+00,1.299999999999999822e+00,3.596220797753061360e-01,1.795159727287140225e-02,8.939183220457991828e-05,2.008933183084554153e-01,3.105052504020475723e+00
